personal;persönlich
Esta es mi gente.;Das sind meine Freunde und Familie.
la gente;Leute
el / la compañero/-a de clase;Klassenkamerad/in
mejor;beste/r/s
¡Somos los mejores! ;Wir sind die Besten!
de viaje ;unterwegs 
el viaje;Reise, Fahrt
la madre ;Mutter
el /la hermano/-a ;Bruder / Schwester
la foto ;Foto
la vida ;Leben
la pregunta ;Frage
normalmente;normalerweise
su pareja;Ihr/e Partner/in 
su;sein/e, ihr/e, Ihr/e 
casado/-a;verheiratet
el padre;Vater 
sus;seine, ihre, Ihre 
el / la hijo/-a;"Sohn / Tochter; Kind "
los / las hermanos/-as;"Geschwister; Brüder / Schwestern"
el / la compañero/-a de trabajo ;Arbeitskollege
en general;im Allgemeinen
¿Cómo? ;Wie?
bueno/-a ;gut
bastante ;ziemlich
malo/-a ;schlecht
el /la abuelo/-a;"Großvater/-mutter; p/ Großeltern"
el / la tío/-a ;Onkel / Tante
el /la primo/-a ;Cousin/e
la relación familiar;Verwandtschaftsbeziehung
el / la novio/-a ;(feste/r) Freund/in
el /la compañero/-a de piso;Mitbewohner/in
nuestro/-a;unser/e
vuestro/-a;euer/e
el / la hijo/-a único/-a ;Einzelkind
el problema ;Problem
la residencia;(Studenten-)Wohnheim
siempre ;immer 
más de ;mehr als
el/la sobrino/-a ;Neffe / Nichte
la situación;Situation, Lage 
independiente;unabhängig 
cuidar (de);pflegen, betreuen
el futuro ;Zukunft 
conservar;erhalten, bewahren, beibehalten
los amigos de toda la vida;alte Freunde
todo/-a;ganz
pasar;verbringen
el estado civil;Familienstand
¿Con quién?;Mit wem?
el aspecto ;Aspekt 
estar (yo estoy);sein
soltero/-a;ledig
divorciado/-a;geschieden
recuerda (inf: recordar);"erinnere dich; denke daran "
aquí;hier
el / la matemático/-a;Mathematiker/in
joven;jung
buena gente;nette Leute
¿Eh?;Was?
bajo/-a ;klein
delgado/-a ;schlank
tener (g, ie) el pelo moreno ;dunkle Haare haben
el pelo ;Haar
moreno/-a ;dunkel(haarig)
corto/-a ;kurz
la fase ;Phase 
llevar ;tragen
la barba;Bart
